nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;230000;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;185000;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;194500;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;214500;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;230000;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;214000;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;180000;"NUSA TENGGARA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;184000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;228000;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;285000;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;200000;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;233000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;186000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;203000;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;200000;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;210000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;186000;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;180000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;180000;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;315000;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2000;Tahun;216500;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;300000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;340500;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;250000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;329000;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;245000;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;255000;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;240000;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;240000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;255000;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;421500;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;426300;"DKI JAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;245000;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;245000;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;237500;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;220000;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;245000;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;309800;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;240000;"NUSA TENGGARA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;275000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;304500;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;362000;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;295000;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;300000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;372000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;245000;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;300000;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;275000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;372000;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;230000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;230000;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;400000;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2001;Tahun;290500;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;330000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;464000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;385000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;394000;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;304000;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;331500;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;295000;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;310000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;345000;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;-;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;591300;"DKI JAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;280800;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;314500;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;321800;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;245000;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;360000;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;341000;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;320000;"NUSA TENGGARA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;330000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;380000;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;362000;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;377500;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;500000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;438000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;350000;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;375000;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;325000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;375000;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;285000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;322000;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;530000;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2002;Tahun;362700;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;425000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;505000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;435000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;437500;RIAU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;390000;JAMBI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;403500;"SUMATERA SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;330000;BENGKULU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;350000;LAMPUNG
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;379500;"KEP. BANGKA BELITUNG"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;-;"KEP. RIAU"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;631600;"DKI JAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;320000;"JAWA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;340400;"JAWA TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;360000;"DI YOGYAKARTA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;274000;"JAWA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;475000;BANTEN
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;410000;BALI
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;375000;"NUSA TENGGARA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;350000;"NUSA TENGGARA TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;400000;"KALIMANTAN BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;425000;"KALIMANTAN TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;425000;"KALIMANTAN SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;540000;"KALIMANTAN TIMUR"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;-;"KALIMANTAN UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;495000;"SULAWESI UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;410000;"SULAWESI TENGAH"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;415000;"SULAWESI SELATAN"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;390000;"SULAWESI TENGGARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;410000;GORONTALO
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;-;"SULAWESI BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;370000;MALUKU
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;370000;"MALUKU UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;-;"PAPUA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;600000;PAPUA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2003;Tahun;414700;INDONESIA
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;550000;ACEH
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;537000;"SUMATERA UTARA"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;480000;"SUMATERA BARAT"
"Upah Minimum Regional/Propinsi";"Tidak Ada";2004;Tahun;476900;RIAU
